Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation
Del-Aguila et al ART	10.1186/s13195-019-0524-x	Jorge L. Del-Aguila, Zeran Li, Umber Dube, Kathie A. Mihindukulasuriya, John P. Budde, Maria Victoria Fernandez, Laura Ibanez, Joseph Bradley, Fengxian Wang, Kristy Bergmann, Richard Davenport, John C. Morris, David M. Holtzman, Richard J. Perrin, Bruno A. Benitez, Joseph Dougherty, Carlos Cruchaga, Oscar Harari	Alz Res Therapy	A single-nuclei RNA sequencing study of Mendelian and sporadic AD in the human brain	20190809.0	10.1101/593756	26,331	Human	Brain	Chromium			RNA-seq	Parietal lobe from Alzheimer patients			6.0	Yes						
Cook et al bioRxiv	10.1101/732412	David P. Cook, Barbara C. Vanderhyden	bioRxiv	Comparing transcriptional dynamics of the epithelial-mesenchymal transition	20190813.0	10.1101/732412	103,999	Human	Culture	MULTI-seq			RNA-seq											
Tosti et al bioRxiv	10.1101/733964	Luca Tosti, Yan Hang, Timo Trefzer, Katja Steiger, Foo Wei Ten, Soeren Lukassen, Simone Ballke, Anja A. Kuehl, Simone Spieckermann, Rita Bottino, Wilko Weichert, Seung K. Kim, Roland Eils, Christian Conrad	bioRxiv	Single nucleus RNA sequencing maps acinar cell states in a human pancreas cell atlas	20190814.0	10.1101/733964	111,169	Human	Pancreas				RNA-seq											
Soares et al PNAS	10.1073/pnas.1908180116	Eduardo Soares, Quan Xu, Qingqing Li, Jieqiong Qu, Yuxuan Zheng, Henriette H. M. Raeven, Karina O. Brandao, Isabelle Petit, Willem M. R. van den Akker, Simon J. van Heeringen, Daniel Aberdam, Fuchou Tang, Huiqing Zhou	Proc Natl Acad Sci USA	Single-cell RNA-seq identifies a reversible mesodermal activation in abnormally specified epithelia of p63 EEC syndrome	20190815.0			Human	Culture		GSE120107		RNA-seq	epithelial differentiation from hPSCs										
Stuart et al CSC	10.1016/j.stem.2019.07.009	Hannah T. Stuart, Giuliano G. Stirparo, Tim Lohoff, Lawrence E. Bates, Masaki Kinoshita, Chee Y. Lim, Elsa J. Sousa, Katsiaryna Maskalenka, Aliaksandra Radzisheuskaya, Andrew A. Malcolm, Mariana R.P. Alves, Rebecca L. Lloyd, Sonia Nestorowa, Peter Humphreys, William Mansfield, Wolf Reik, Paul Bertone, Jennifer Nichols, Berthold Göttgens, José C.R. Silva	Cell Stem Cell	Distinct Molecular Trajectories Converge to Induce Naive Pluripotency	20190815.0								RNA-seq											
Huisman et al NCommunications	10.1038/s41467-019-11667-y	Christian Huisman, Hyeyoung Cho, Olivier Brock, Su Jeong Lim, Sung Min Youn, Younjung Park, Sangsoo Kim, Soo-Kyung Lee, Alessio Delogu, Jae W. Lee	Nat Commun	Single cell transcriptome analysis of developing arcuate nucleus neurons uncovers their key developmental regulators	20190816.0		5,038	Mouse	Brain	Chromium	GSE126480		RNA-seq	hypothalamic arcuate nucleus		E15								
Liu et al bioRxiv	10.1101/738443	Yong Liu, Tobias Bergmann, Julie Lee, Ulrich Pfisterer, Louis-Francois Handfield, Yuki Mori, Andrea Asenjo-Martinez, Irene Lisa-Vargas, Stefan E Seemann, Jimmy Tsz Hang Lee, Nikolaos Patikis, Juan Miguel Peralvo Vidal, Maria Pihl, Birgitte Rahbek Kornum, Preben Dybdahl Thomsen, Poul Hyttel, Menno P Witter, Konstantin Khodosevich, Jan Gorodkin, Martin Hemberg, Tune Pers, Vanessa J Hall	bioRxiv	Sandwich cortical lamination and single-cell analysis decodes the developing spatial processing system.	20190820.0	10.1101/738443				Chromium			RNA-seq											
Hodge et al Nature	10.1038/s41586-019-1506-7	Rebecca D. Hodge, Trygve E. Bakken, Jeremy A. Miller, Kimberly A. Smith, Eliza R. Barkan, Lucas T. Graybuck, Jennie L. Close, Brian Long, Nelson Johansen, Osnat Penn, Zizhen Yao, Jeroen Eggermont, Thomas Höllt, Boaz P. Levi, Soraya I. Shehata, Brian Aevermann, Allison Beller, Darren Bertagnolli, Krissy Brouner, Tamara Casper, Charles Cobbs, Rachel Dalley, Nick Dee, Song-Lin Ding, Richard G. Ellenbogen, Olivia Fong, Emma Garren, Jeff Goldy, Ryder P. Gwinn, Daniel Hirschstein, C. Dirk Keene, Mohamed Keshk, Andrew L. Ko, Kanan Lathia, Ahmed Mahfouz, Zoe Maltzer, Medea McGraw, Thuc Nghi Nguyen, Julie Nyhus, Jeffrey G. Ojemann, Aaron Oldre, Sheana Parry, Shannon Reynolds, Christine Rimorin, Nadiya V. Shapovalova, Saroja Somasundaram, Aaron Szafer, Elliot R. Thomsen, Michael Tieu, Gerald Quon, Richard H. Scheuermann, Rafael Yuste, Susan M. Sunkin, Boudewijn Lelieveldt, David Feng, Lydia Ng, Amy Bernard, Michael Hawrylycz, John W. Phillips, Bosiljka Tasic, Hongkui Zeng, Allan R. Jones, Christof Koch, Ed S. Lein	Nature	Conserved cell types with divergent features in human versus mouse cortex	20190821.0		15,928	Human	Brain	SMARTer			RNA-seq	Middlee temporal gyrus		Adult								
Alda-Catalinas et al bioRxiv	10.1101/741371	Celia Alda-Catalinas, Danila Bredikhin, Irene Hernando-Herraez, Oana Kubinyecz, F&aacutetima Santos, Melanie Anne Eckersley-Maslin, Oliver Stegle, Wolf Reik	bioRxiv	A single-cell transcriptomics CRISPR-activation screen identifies new epigenetic regulators of zygotic genome activation	20190821.0	10.1101/741371	203,894						RNA-seq											
Hoa et al bioRxiv	10.1101/742270	Michael Hoa, Rafal Olszewski, Xiaoyi Li, Ian Taukulis, Alvin DeTorres, Ivan A. Lopez, Fred H. Linthicum, Akira Ishiyama, Daniel Martin Izquierdo, Robert J. Morell, Matthew W. Kelley	bioRxiv	Characterizing Adult cochlear supporting cell transcriptional diversity using single-cell RNA-Seq: Validation in the adult mouse and translational implications for the adult human cochlea	20190822.0	10.1101/742270	279	Mouse	Ear	SMARTer (C1)	GSE135703		RNA-seq								Yes	Yes		
Tambalo et al bioRxiv	10.1101/745141	Monica Tambalo, Richard Mitter, David G. Wilkinson	bioRxiv	A single cell transcriptome atlas of the developing zebrafish hindbrain	20190823.0	10.1101/745141	9,026	Zebrafish	Brain	Chromium			RNA-seq	Developing hindbrain		16hpf, 24hpf, 44hpf	12.0	Yes				Yes		
Joost et al bioRxiv	10.1101/750042	Simon Joost, Karl Annusver, Tina Jacob, Xiaoyan Sun, Unnikrishnan Sivan, Tim Dalessandri, Inês Sequeira, Rickard Sandberg, Maria Kasper	bioRxiv	The molecular anatomy of mouse skin during hair growth and rest	20190831.0	10.1101/733964							RNA-seq											
Gioacchino et al bioRxiv	10.1101/753178	Emanuele Gioacchino, Cansu Koyunlar, Hans de Looper, Madelon de Jong, Tomasz Dobrzycki, Remco Hoogenboezem, Joke Zink, Dennis Bosch, Paulette van Strien, Martin E van Royen, Pim French, Eric Bindels, Rui Monteiro, Kirsten J Gussinklo, Ivo P Touw, Emma de Pater	bioRxiv	Single cell transcriptome analysis reveals an essential role for Gata2b in hematopoietic lineage decisions in zebrafish	20190901.0	10.1101/753178		Zebrafish																
Yang et al NCommunications	10.1038/s41467-019-11947-7	Chao Yang, Jason R. Siebert, Robert Burns, Zachary J. Gerbec, Benedetta Bonacci, Amy Rymaszewski, Mary Rau, Matthew J. Riese, Sridhar Rao, Karen-Sue Carlson, John M. Routes, James W. Verbsky, Monica S. Thakar, Subramaniam Malarkannan	Nat Commun	Heterogeneity of human bone marrow and blood natural killer cells defined by single-cell transcriptome	20190902.0								RNA-seq	Natural killer cells										
Pil Hong et al NCommunications	10.1038/s41467-019-11721-9	Sung Pil Hong, Thalia E. Chan, Ylenia Lombardo, Giacomo Corleone, Nicole Rotmensz, Sara Bravaccini, Andrea Rocca, Giancarlo Pruneri, Kirsten R. McEwen, R. Charles Coombes, Iros Barozzi, Luca Magnani	Nat Commun	Single-cell transcriptomics reveals multi-step adaptations to endocrine therapy	20190902.0								RNA-seq											
Mcfaline-Figueroa et al NGenetics	10.1038/s41588-019-0489-5	José L. McFaline-Figueroa, Andrew J. Hill, Xiaojie Qiu, Dana Jackson, Jay Shendure, Cole Trapnell	Nat Genet	A pooled single-cell genetic screen identifies regulatory checkpoints in the continuum of the epithelial-to-mesenchymal transition	20190902.0			Human		Chromium & CROP-seq	GSE114687		RNA-seq											
Cano-Gamez et al bioRxiv	10.1101/753731	Eddie Cano-Gamez, Blagoje Soskic, Theodoros I. Roumeliotis, Ernest So, Deborah J. Smyth, Marta Baldrighi, David Willé, Nikolina Nakic, Jorge Esparza-Gordillo, Christopher G. C. Larminie, Paola G. Bronson, David F. Tough, Wendy C. Rowan, Jyoti S. Choudhary, Gosia Trynka	bioRxiv	Single-cell transcriptomics identifies an effectorness gradient shaping the response of CD4+ T cells to cytokines	20190904.0	10.1101/753731	40,000	Human					RNA-seq	Naive and memory CD4+ T cells										
Yin et al MCell	10.1016/j.molcel.2019.08.002	Yi Yin, Yue Jiang, Kwan-Wood Gabriel Lam, Joel B. Berletch, Christine M. Disteche, William S. Noble, Frank J. Steemers, R. Daniel Camerini-Otero, Andrew C. Adey, Jay Shendure	Molecular Cell	High-Throughput Single-Cell Sequencing with Linear Amplification	20190905.0		4,693	Human, Mouse	Culture	sci-L3-RNA			RNA-seq											
Musser et al bioRxiv	10.1101/758276	Jacob Musser, Klaske J Schippers, Michael Nickel, Giulia Mizzon, Andrea B Kohn, Constantin Pape, Jörg U. Hammel, Florian Wolf, Cong Liang, Ana Hernández-Plaza, Kaia Achim, Nicole Schieber, Warren R. Francis, Sergio Vargas R., Svenja Kling, Maike Renkert, Roberto Feuda, Imre Gaspar, Pawel Burkhardt, Peer Bork, Martin Beck, Anna Kreshuk, Gert Wörheide, Jaime Huerta-Cepas, Yannick Schwab, Leonid L. Moroz, Detlev Arendt	bioRxiv	Profiling cellular diversity in sponges informs animal cell type and nervous system evolution	20190905.0	10.1101/758276		Sponge	Whole organism				RNA-seq	Whole organism			18.0							
Liu et al bioRxiv	10.1101/759118	Xuanyu Liu, Wen Chen, Wenke Li, Ziyi Zeng, James R. Priest, Zhou Zhou	bioRxiv	Single-cell transcriptomic landscape of cardiac neural crest cell derivatives during embryonic and neonatal development	20190905.0	10.1101/759118	34,131		Heart				RNA-seq	Cardiac neural crest cells		E10.5 to P7								
Adams et al bioRxiv	10.1101/759902	Taylor S. Adams, Jonas C. Schupp, Sergio Poli, Ehab A. Ayaub, Nir Neumark, Farida Ahangari, Sarah G. Chu, Benjamin A. Raby, Giuseppe DeIuliis, Michael Januszyk, Qiaonan Duan, Heather A. Arnett, Asim Siddiqui, George R. Washko, Robert Homer, Xiting Yan, Ivan O. Rosas, Naftali Kaminski	bioRxiv	Single Cell RNA-seq reveals ectopic and aberrant lung resident cell populations in Idiopathic Pulmonary Fibrosis	20190906.0	10.1101/759902	312,928		Lung				RNA-seq	lung resident populations in idiopathic pulmonary fibrosis										
Habermann et al bioRxiv	10.1101/753806	Arun C. Habermann, Austin J. Gutierrez, Linh T. Bui, Stephanie L. Yahn, Nichelle I. Winters, Carla L. Calvi, Lance Peter, Mei-I Chung, Chase J. Taylor, Christopher Jetter, Latha Raju, Jamie Roberson, Guixiao Ding, Lori Wood, Jennifer MS Sucre, Bradley W. Richmond, Ana P. Serezani, Wyatt J. McDonnell, Simon B. Mallal, Matthew J. Bacchetta, James E. Loyd, Ciara M. Shaver, Lorraine B. Ware, Ross Bremner, Rajat Walia, Timothy S. Blackwell, Nicholas E. Banovich, Jonathan A. Kropski	bioRxiv	Single-cell RNA-sequencing reveals profibrotic roles of distinct epithelial and mesenchymal lineages in pulmonary fibrosis	20190907.0	10.1101/753806	114,396		Lung				RNA-seq				31.0	Yes						
Vickovic et al NMethods	10.1038/s41592-019-0548-y	Sanja Vickovic, Gökcen Eraslan, Fredrik Salmén, Johanna Klughammer, Linnea Stenbeck, Denis Schapiro, Tarmo Äijö, Richard Bonneau, Ludvig Bergenstråhle, José Fernandéz Navarro, Joshua Gould, Gabriel K. Griffin, Åke Borg, Mostafa Ronaghi, Jonas Frisén, Joakim Lundeberg, Aviv Regev, Patrik L. Ståhl	Nat Methods	High-definition spatial transcriptomics for in situ tissue profiling	20190909.0		2,250,428	Mouse	Brain	HDST	GSE130682		RNA-seq	Olfactory bulb	Spatial									
Zhang et al NMethods	10.1038/s41592-019-0529-1	Allen W. Zhang, Ciara O’Flanagan, Elizabeth A. Chavez, Jamie L. P. Lim, Nicholas Ceglia, Andrew McPherson, Matt Wiens, Pascale Walters, Tim Chan, Brittany Hewitson, Daniel Lai, Anja Mottok, Clementine Sarkozy, Lauren Chong, Tomohiro Aoki, Xuehai Wang, Andrew P Weng, Jessica N. McAlpine, Samuel Aparicio, Christian Steidl, Kieran R. Campbell, Sohrab P. Shah	Nat Methods	Probabilistic cell-type assignment of single-cell RNA-seq for tumor microenvironment profiling	20190909.0	10.1101/521914				Chromium	https://doi.org/10.5281/zenodo.3372746													
Xia et al PNAS	10.1073/pnas.1912459116	Chenglong Xia, Jean Fan, George Emanuel, Junjie Hao, Xiaowei Zhuang	Proc Natl Acad Sci USA	Spatial transcriptome profiling by MERFISH reveals subcellular RNA compartmentalization and cell cycle-dependent gene expression	20190910.0		1,371		Culture	MERFISH		10,050	In Situ	OU-2 cells	Spatial					Yes				
Khrameeva et al bioRxiv	10.1101/764936	Ekaterina Khrameeva, Ilia Kurochkin, Dingding Han, Patricia Guijarro, Sabina Kanton, Malgorzata Santel, Zhengzong Qian, Shen Rong, Pavel Mazin, Matvei Bulat, Olga Efimova, Anna Tkachev, Song Guo, Chet C. Sherwood, J. Gray Camp, Svante Paabo, Barbara Treutlein, Philipp Khaitovich	bioRxiv	Single-cell-resolution transcriptome map of human, chimpanzee, bonobo, and macaque brains	20190911.0	10.1101/764936	88,047	Human, Chimpanzee, Bonobo, Macaque	Brain	Chromium			RNA-seq											
Mizrak et al bioRxiv	10.1101/770610	Dogukan Mizrak, N. Sumru Bayin, Jinzhou Yuan, Zhouzerui Liu, Radu Suciu, Micah J. Niphakis, Nhi Ngo, Kenneth M. Lum, Benjamin F. Cravatt, Alexandra L. Joyner, Peter A. Sims	bioRxiv	Single-cell profiling and SCOPE-seq reveal the lineage dynamics of adult neurogenesis and NOTUM as a key V-SVZ regulator	20190917.0	10.1101/770610	56,000	Mouse	Brain	SCOPE-seq			RNA-seq	OB and V-SVZ										
Man-Chung Li et al bioRxiv	10.1101/773408	Carman Man-Chung Li, Hana Shapiro, Christina Tsiobikas, Laura Selfors, Huidong Chen, G. Kenneth Gray, Yaara Oren, Luca Pinello, Aviv Regev, Joan S. Brugge	bioRxiv	Aging-associated alterations in the mammary gland revealed by single-cell RNA sequencing	20190918.0	10.1101/773408	19,161	Mouse		Chromium			RNA-seq	Mammary epithelium and stroma	Age									
Shvartsman et al bioRxiv	10.1101/774547	Maya Shvartsman, Polina V. Pavlovich, Morgan Oatley, Kerstin Ganter, Rachel McKernan, Radvile Prialgauskaite, Artem Adamov, Konstantin Chukreev, Nicolas Descostes, Andreas Buness, Nina Cabezas-Wallscheid, Christophe Lancrin	bioRxiv	Single-cell atlas of major haematopoietic tissues sheds light on blood cell formation from embryonic endothelium	20190920.0	10.1101/774547	2,766	Mouse		ICELL8			RNA-seq			E9.5, E11.5								
Stewart et al Science	10.1126/science.aat5031	Benjamin J. Stewart, John R. Ferdinand, Matthew D. Young, Thomas J. Mitchell, Kevin W. Loudon, Alexandra M. Riding, Nathan Richoz, Gordon L. Frazer, Joy U. L. Staniforth, Felipe A. Vieira Braga, Rachel A. Botting, Dorin-Mirel Popescu, Roser Vento-Tormo, Emily Stephenson, Alex Cagan, Sarah J. Farndon, Krzysztof Polanski, Mirjana Efremova, Kile Green, Martin Del Castillo Velasco-Herrera, Charlotte Guzzo, Grace Collord, Lira Mamanova, Tevita Aho, James N. Armitage, Antony C. P. Riddick, Imran Mushtaq, Stephen Farrell, Dyanne Rampling, James Nicholson, Andrew Filby, Johanna Burge, Steven Lisgo, Susan Lindsay, Marc Bajenoff, Anne Y. Warren, Grant D. Stewart, Neil Sebire, Nicholas Coleman, Muzlifah Haniffa, Sarah A. Teichmann, Sam Behjati, Menna R. Clatworthy	Science	Spatiotemporal immune zonation of the human kidney	20190927.0					Chromium	https://data.humancellatlas.org/explore/projects/abe1a013-af7a-45ed-8c26-f3793c24a1f4		RNA-seq											
Hurley et al bioRxiv	10.1101/782896	Killian Hurley, Jun Ding, Carlos Villacorta-Martin, Michael J. Herriges, Anjali Jacob, Marall Vedaie, Konstantinos D. Alysandratos, Yuliang L. Sun, Chieh Lin, Rhiannon B. Werder, Andrew A. Wilson, Aditya Mithal, Gustavo Mostoslavsky, Ignacio S. Caballero, Susan H. Guttentag, Farida Ahangari, Naftali Kaminski, Alejo Rodriguez-Fraticelli, Fernando Camargo, Ziv Bar-Joseph, Darrell N Kotton	bioRxiv	Single-cell time-series mapping of cell fate trajectories reveals an expanded developmental potential for human PSC-derived distal lung progenitors	20190927.0	10.1101/782896	16,708	Human	Culture	Chromium	GSE137799		RNA-seq	iPSC derived AEC2 cells	Differentiation time									
Geng et al FEBSLetters	10.1002/1873-3468.13623	Shuang Geng, Jing Wang, Zhang Xiannian, Jia‐jia Zhang, Fan Wu, Yuhong Pang, Yuping Zhong, Jianbin Wang, Wenming Wang, Xiaoqing Lyu, Yanyi Huang, Hongmei Jing	FEBS Lett	Single‐cell RNA sequencing reveals chemokine self‐feeding of myeloma cells promotes extramedullary metastasis	20190928.0								RNA-seq											
Liu et al bioRxiv	10.1101/788992	Yang Liu, Mingyu Yang, Yanxiang Deng, Graham Su, Cindy C. Guo, Di Zhang, Dongjoo Kim, Zhiliang Bai, Yang Xiao, Rong Fan	bioRxiv	High-Spatial-Resolution Multi-Omics Atlas Sequencing of Mouse Embryos via Deterministic Barcoding in Tissue	20191002.0	10.1101/788992				DBiT-seq			RNA-seq											
Baron et al Cell	10.1016/j.cell.2019.08.006	Chloé S. Baron, Aditya Barve, Mauro J. Muraro, Reinier van der Linden, Gitanjali Dharmadhikari, Anna Lyubimova, Eelco J.P. de Koning, Alexander van Oudenaarden	Cell	Cell Type Purification by Single-Cell Transcriptome-Trained Sorting	20191003.0			Human, Zebrafish	Kidney marrow, Pancreas	SORT-seq	GSE112438		RNA-seq											
Popescu et al Nature	10.1038/s41586-019-1652-y	Dorin-Mirel Popescu, Rachel A. Botting, Emily Stephenson, Kile Green, Simone Webb, Laura Jardine, Emily F. Calderbank, Krzysztof Polanski, Issac Goh, Mirjana Efremova, Meghan Acres, Daniel Maunder, Peter Vegh, Yorick Gitton, Jong-Eun Park, Roser Vento-Tormo, Zhichao Miao, David Dixon, Rachel Rowell, David McDonald, James Fletcher, Elizabeth Poyner, Gary Reynolds, Michael Mather, Corina Moldovan, Lira Mamanova, Frankie Greig, Matthew D. Young, Kerstin B. Meyer, Steven Lisgo, Jaume Bacardit, Andrew Fuller, Ben Millar, Barbara Innes, Susan Lindsay, Michael J. T. Stubbington, Monika S. Kowalczyk, Bo Li, Orr Ashenberg, Marcin Tabaka, Danielle Dionne, Timothy L. Tickle, Michal Slyper, Orit Rozenblatt-Rosen, Andrew Filby, Peter Carey, Alexandra-Chloé Villani, Anindita Roy, Aviv Regev, Alain Chédotal, Irene Roberts, Berthold Göttgens, Sam Behjati, Elisa Laurenti, Sarah A. Teichmann, Muzlifah Haniffa	Nature	Decoding human fetal liver haematopoiesis	20191009.0		199,642	Human	Liver, Kidney, Skin	Chromium	E-MTAB-7407		RNA-seq											
Ramachandran et al Nature	10.1038/s41586-019-1631-3	P. Ramachandran, R. Dobie, J. R. Wilson-Kanamori, E. F. Dora, B. E. P. Henderson, N. T. Luu, J. R. Portman, K. P. Matchett, M. Brice, J. A. Marwick, R. S. Taylor, M. Efremova, R. Vento-Tormo, N. O. Carragher, T. J. Kendall, J. A. Fallowfield, E. M. Harrison, D. J. Mole, S. J. Wigmore, P. N. Newsome, C. J. Weston, J. P. Iredale, F. Tacke, J. W. Pollard, C. P. Ponting, J. C. Marioni, S. A. Teichmann, N. C. Henderson	Nature	Resolving the fibrotic niche of human liver cirrhosis at single-cell level	20191009.0		100,000	Human	Liver				RNA-seq											
Hsu et al BJH	10.1111/bjh.16225	Chia‐Chen Hsu, Ying‐Ju Chen, Cih‐En Huang, Yu‐Ying Wu, Ming‐Chung Wang, Sung‐Nan Pei, Chun‐Kai Liao, Chang‐Hsien Lu, Ping‐Tsung Chen, Hsing‐Yi Tsou, Chian‐Pei Li, Wei‐Hsuan Chuang, Ching‐Kai Chuang, Cheng‐Yu Yang, Yi‐Hua Lai, Yi‐Hsuan Lin, Chih‐Cheng Chen	Br J Haematol	Molecular heterogeneity unravelled by single‐cell transcriptomics in patients with essential thrombocythaemia	20191015.0			Human	Blood				RNA-seq	CD34+ cells from peripheral blood										
Xu et al Immunity	10.1016/j.immuni.2019.09.004	Heping Xu, Jiarui Ding, Caroline B.M. Porter, Antonia Wallrapp, Marcin Tabaka, Sai Ma, Shujie Fu, Xuanxuan Guo, Samantha J. Riesenfeld, Chienwen Su, Danielle Dionne, Lan T. Nguyen, Ariel Lefkovith, Orr Ashenberg, Patrick R. Burkett, Hai Ning Shi, Orit Rozenblatt-Rosen, Daniel B. Graham, Vijay K. Kuchroo, Aviv Regev, Ramnik J. Xavier	Immunity	Transcriptional Atlas of Intestinal Immune Cells Reveals that Neuropeptide α-CGRP Modulates Group 2 Innate Lymphoid Cell Responses	20191015.0		58,067	Mouse	Small intestine				RNA-seq	Immune cells										
Zappia et al bioRxiv	10.1101/806281	Maria Paula Zappia, Lucia de Castro, Majd M. Ariss, Abul B.M.M.K. Islam, Maxim V Frolov	bioRxiv	A single-cell transcriptome atlas of the adult muscle precursors uncovers early events in fiber-type divergence in Drosophila	20191016.0	10.1101/806281	11,527	Drosophila	Wing	Drop-seq			RNA-seq	Adult muscle precursors			24.0	Yes						
Zhou et al CSystems	10.1016/j.cels.2019.09.008	Wen Zhou, Mary A. Yui, Brian A. Williams, Jina Yun, Barbara J. Wold, Long Cai, Ellen V. Rothenberg	Cell Systems	Single-Cell Analysis Reveals Regulatory Gene Expression Dynamics Leading to Lineage Commitment in Early T Cell Development	20191016.0																			
